file_name,image_size,inference_info
C:/R_projects/mothz/coco-annotator/datasets/mothz_sample1\11-21-23__subdir__2019_03_26__subdir__IMG_0060.JPG,"[4000, 6000]",modelv1.0__2026-05-19 22:30:29
C:/R_projects/mothz/coco-annotator/datasets/mothz_sample1\11-21-23__subdir__2019_03_26__subdir__IMG_0068.JPG,"[4000, 6000]",modelv1.0__2026-05-19 22:30:29
C:/R_projects/mothz/coco-annotator/datasets/mothz_sample1\11-26-24__subdir__2024_11_26__subdir__IMG_0005_1.JPG,"[4000, 6000]",modelv1.0__2026-05-19 22:30:29
C:/R_projects/mothz/coco-annotator/datasets/mothz_sample1\11-26-24__subdir__2024_11_26__subdir__IMG_0042.JPG,"[4000, 6000]",modelv1.0__2026-05-19 22:30:29
C:/R_projects/mothz/coco-annotator/datasets/mothz_sample1\11-27-23__subdir__2019_04_01__subdir__IMG_0020.JPG,"[4000, 6000]",modelv1.0__2026-05-19 22:30:29
C:/R_projects/mothz/coco-annotator/datasets/mothz_sample1\11-27-23__subdir__2019_04_01__subdir__IMG_0045_1.JPG,"[4000, 6000]",modelv1.0__2026-05-19 22:30:29
C:/R_projects/mothz/coco-annotator/datasets/mothz_sample1\11-27-23__subdir__2019_04_01__subdir__IMG_0048_1.JPG,"[4000, 6000]",modelv1.0__2026-05-19 22:30:29
C:/R_projects/mothz/coco-annotator/datasets/mothz_sample1\11-27-23__subdir__2019_04_01__subdir__IMG_0067.JPG,"[4000, 6000]",modelv1.0__2026-05-19 22:30:29
C:/R_projects/mothz/coco-annotator/datasets/mothz_sample1\11-27-23__subdir__2019_04_01__subdir__IMG_0089_1.JPG,"[4000, 6000]",modelv1.0__2026-05-19 22:30:29
C:/R_projects/mothz/coco-annotator/datasets/mothz_sample1\11-27-23__subdir__2019_04_01__subdir__IMG_0091_1.JPG,"[4000, 6000]",modelv1.0__2026-05-19 22:30:29
C:/R_projects/mothz/coco-annotator/datasets/mothz_sample1\11-27-23__subdir__2019_04_01__subdir__IMG_0153.JPG,"[4000, 6000]",modelv1.0__2026-05-19 22:30:29
