_id,Damage,Hostplant Family,Hostplant Genus,Hostplant Species,Hostplant Subspecies/var,HOSTS ID,Insect Author,Insect Family,Insect Genus,Insect Species,Insect Subspecies,Lab Rearing,Location
118828,,Ebenaceae,Diospyros,kaki,,118828,Butler,Sesiidae,Synanthedon,hector,,,Palaearctic
118917,,Pinaceae,Pinus,contorta,,118917,Edwards,Sesiidae,Synanthedon,novaroensis,,,Nearctic
120281,on leaves,Malvaceae,Hibiscus,rosa-sinensis,,120281,Linnaeus,Sphingidae,Daphnis,nerii,,,Thailand
119680,,Convolvulaceae,Ipomoea,batatas,,119680,Linnaeus,Sphingidae,Agrius,convolvuli,,,India
118845,in trunks,Rosaceae,Malus,pumila,,118845,Butler,Sesiidae,Synanthedon,hector,,,Japan
118829,,Rosaceae,Malus,pumila,,118829,Butler,Sesiidae,Synanthedon,hector,,,Palaearctic
118927,in wood,Pinaceae,Pinus,contorta,,118927,Edwards,Sesiidae,Synanthedon,novaroensis,,,USA
120282,on leaves,Rubiaceae,Mitragyna,stipulosa,,120282,Linnaeus,Sphingidae,Daphnis,nerii,,,Uganda
119683,,Convolvulaceae,Ipomoea,batatas,,119683,Linnaeus,Sphingidae,Agrius,convolvuli,,,Old World
118858,,Aquifoliaceae,Ilex,,,118858,Duckworth & Eic.,Sesiidae,Synanthedon,kathyae,,,USA
118839,,Rosaceae,Pyrus,ussuriensis,,118839,Butler,Sesiidae,Synanthedon,hector,,,Palaearctic
118930,in wood,Pinaceae,Pinus,nigra,,118930,Edwards,Sesiidae,Synanthedon,novaroensis,,,Nearctic
120283,on leaves,Apocynaceae,Nerium,indicum,,120283,Linnaeus,Sphingidae,Daphnis,nerii,,,Taiwan
119688,,Convolvulaceae,Ipomoea,cairica,,119688,Linnaeus,Sphingidae,Agrius,convolvuli,,,India
118863,,Leguminosae (M),Albizia,glaberrima,,118863,Meyrick,Sesiidae,Synanthedon,leptomorpha,,,East Africa
118840,,Symplocaceae,Symplocos,paniculata,,118840,Butler,Sesiidae,Synanthedon,hector,,,Palaearctic
118932,on pitch,Pinaceae,Pseudotsuga,menziesii,,118932,Edwards,Sesiidae,Synanthedon,novaroensis,,,Nearctic
120300,,Apocynaceae,Alstonia,,,120300,Walker,Sphingidae,Daphnis,placida,,,Australia
119690,,Convolvulaceae,Ipomoea,carnea,,119690,Linnaeus,Sphingidae,Agrius,convolvuli,,,West Malaysia
118870,,Salicaceae,Populus,nigra,,118870,Laspèyres,Sesiidae,Synanthedon,melliniformis,,,Palaearctic
118850,in trunks,Rosaceae,Prunus,salicina,,118850,Butler,Sesiidae,Synanthedon,hector,,,Japan
118936,in trunks,Salicaceae,Populus,,,118936,Moore,Sesiidae,Synanthedon,ommatiaeformis,,,India
120302,,Convolvulaceae,Ipomoea,batatas,,120302,Walker,Sphingidae,Daphnis,placida,,,New Guinea
119691,,Convolvulaceae,Ipomoea,ficifolia,,119691,Linnaeus,Sphingidae,Agrius,convolvuli,,,Southern Africa
118877,,Betulaceae,Alnus,glutinosa,,118877,Herrich-Schäffer,Sesiidae,Synanthedon,mesiaeformis,,,Palaearctic
118856,in trunks,Salicaceae,Salix,,,118856,Spatenka & Gorb.,Sesiidae,Synanthedon,herzi,,,Japan
118937,on leaves,Salicaceae,Populus,euphratica,,118937,Moore,Sesiidae,Synanthedon,ommatiaeformis,,,India
120303,,Apocynaceae,Tabernaemontana,,,120303,Walker,Sphingidae,Daphnis,placida,,,Australia
119692,,Convolvulaceae,Ipomoea,pes-caprae,,119692,Linnaeus,Sphingidae,Agrius,convolvuli,,,Fiji
118878,in stems,Betulaceae,Alnus,glutinosa,,118878,Herrich-Schäffer,Sesiidae,Synanthedon,mesiaeformis,,,Palaearctic
118857,,Aquifoliaceae,Ilex,,,118857,Duckworth & Eic.,Sesiidae,Synanthedon,kathyae,,,Nearctic
118938,in stem galls,Leguminosae (P),Cajanus,cajan,,118938,Heppner & Duckw.,Sesiidae,Synanthedon,orientalis,,,Thailand
120310,,Cornaceae,Nyssa,multiflora,,120310,Cramer,Sphingidae,Darapsa,choerilus,,,USA
119694,,Convolvulaceae,Ipomoea,quamoclit,,119694,Linnaeus,Sphingidae,Agrius,convolvuli,,,Fiji
118881,in branches/stems,Betulaceae,Alnus,hirsuta,,118881,Spatenka & Arita,Sesiidae,Synanthedon,multitarsus,,,Japan
118860,,Sapotaceae,Palaquium,gutta,,118860,Meyrick,Sesiidae,Synanthedon,laticivora,,,West Malaysia
118940,,Rosaceae,Amelanchier,canadensis,,118940,Grote & Robinson,Sesiidae,Synanthedon,pictipes,,,Nearctic
120322,,Caprifoliaceae,Viburnum,,,120322,Cramer,Sphingidae,Darapsa,choerilus,,,Canada
119697,,Convolvulaceae,Merremia,peltata,,119697,Linnaeus,Sphingidae,Agrius,convolvuli,,,Fiji
118890,,Rosaceae,Mespilus,germanica,,118890,Borkhausen,Sesiidae,Synanthedon,myopaeformis,,,Palaearctic
118864,,Solanaceae,Solanum,melongena,,118864,Bradley,Sesiidae,Synanthedon,leptosceles,,,Kenya
118944,,Rosaceae,Prunus,americana,,118944,Grote & Robinson,Sesiidae,Synanthedon,pictipes,,,Nearctic
120323,,Caprifoliaceae,Viburnum,,,120323,Cramer,Sphingidae,Darapsa,choerilus,,,Nearctic
119698,,Convolvulaceae,Merremia,pinnata,,119698,Linnaeus,Sphingidae,Agrius,convolvuli,,,India
118892,,Rosaceae,Prunus,cerasus,,118892,Borkhausen,Sesiidae,Synanthedon,myopaeformis,,,Palaearctic
118865,,Loranthaceae,Loranthus,europaeus,,118865,Kralicek,Sesiidae,Synanthedon,loranthi,,,Palaearctic
118957,,Pinaceae,Picea,glauca,,118957,Kellicott,Sesiidae,Synanthedon,pini,,,Canada
120328,,Caprifoliaceae,Viburnum,lentago,,120328,Cramer,Sphingidae,Darapsa,choerilus,,,USA
119702,,Solanaceae,Nicotiana,,,119702,Linnaeus,Sphingidae,Agrius,convolvuli,,,South-East Asia
118895,,Rosaceae,Sorbus,,,118895,Borkhausen,Sesiidae,Synanthedon,myopaeformis,,,Palaearctic
118866,,Viscaceae,Viscum,album,,118866,Kralicek,Sesiidae,Synanthedon,loranthi,,,Palaearctic
118961,,Pinaceae,Pinus,strobus,,118961,Kellicott,Sesiidae,Synanthedon,pini,,,Nearctic
120330,,Caprifoliaceae,Viburnum,nudum,cassinoides,120330,Cramer,Sphingidae,Darapsa,choerilus,,Y,Nearctic
119706,,Leguminosae (P),Phaseolus,,,119706,Linnaeus,Sphingidae,Agrius,convolvuli,,,Indonesia
118897,in bark,Rosaceae,Malus,sylvestris,,118897,Borkhausen,Sesiidae,Synanthedon,myopiformis,,,Palaearctic
118867,,Viscaceae,Viscum,laxum,,118867,Kralicek,Sesiidae,Synanthedon,loranthi,,,Palaearctic
118964,in,Pinaceae,Picea,abies,,118964,Kellicott,Sesiidae,Synanthedon,pini,,,Nearctic
120338,,Vitaceae,Parthenocissus,quinquefolia,,120338,Cramer,Sphingidae,Darapsa,myron,myron,,USA
119707,,Leguminosae (P),Phaseolus,,,119707,Linnaeus,Sphingidae,Agrius,convolvuli,,,Old World
118902,in fruits,Dipterocarpaceae,Shorea,,,118902,Meyrick,Sesiidae,Synanthedon,nautica,,,Sarawak
118874,in,Rhamnaceae,Ceanothus,thyrsiflorus,,118874,Boisduval,Sesiidae,Synanthedon,mellinipennis,,,Nearctic
