P No.,MONA,Genus_Species,Author with Year,Common Name,Superfamily,Family,Subfamily,Tribe,Subtribe,Genus,Species,MPG URL,MPG Taxonomic Notes yes::Taxonomic Note Striped,MPG Taxonomic Notes yes::Synonymy striped
800713,5317,Donacaula aquilellus,"(Clemens, 1860)",,Pyraloidea,Crambidae,Schoenobiinae,,,Donacaula,aquilellus,https://mothphotographersgroup.msstate.edu/species.php?hodges=5317,,"Schoenobius aquilellus Clemens, 1860
Schoenobius clemensellus Robinson, 1870"
800714,5318,Donacaula pallulellus,"(Barnes & McDunnough, 1912)",,Pyraloidea,Crambidae,Schoenobiinae,,,Donacaula,pallulellus,https://mothphotographersgroup.msstate.edu/species.php?hodges=5318,,"Schoenobius pallulellus Barnes & McDunnough, 1912"
800715,5319,Donacaula longirostrallus,"(Clemens, 1860)",Long-beaked Donacaula,Pyraloidea,Crambidae,Schoenobiinae,,,Donacaula,longirostrallus,https://mothphotographersgroup.msstate.edu/species.php?hodges=5319,"Donacaula longirostrallus (Clemens, 1860) informally includes as a synonym 5320 Donacaula amblyptepennis, Martinez (2010) (dissertation).","Chilo longirostrallus Clemens, 1860
Schoenobius amblyptepennis Dyar, 1917
Tinea forficella of authors not Thunberg, 1794
Donacaula longirostrellus of authors, [no date]"
800716,5321,Donacaula roscidellus,"(Dyar, 1917)",Brown Donacaula,Pyraloidea,Crambidae,Schoenobiinae,,,Donacaula,roscidellus,https://mothphotographersgroup.msstate.edu/species.php?hodges=5321,,"Schoenobius roscidellus Dyar, 1917
Schoenobius bicolorellus Hoffman, 1934"
800717,5322,Donacaula nitidellus,"(Dyar, 1917)",,Pyraloidea,Crambidae,Schoenobiinae,,,Donacaula,nitidellus,https://mothphotographersgroup.msstate.edu/species.php?hodges=5322,,"Schoenobius nitidellus Dyar, 1917"
800718,5323,Donacaula uxorialis,"(Dyar, 1921)",,Pyraloidea,Crambidae,Schoenobiinae,,,Donacaula,uxorialis,https://mothphotographersgroup.msstate.edu/species.php?hodges=5323,,"Schoenobius uxorialis Dyar, 1921"
800719,5324,Donacaula maximellus,"(Fernald, 1891)",,Pyraloidea,Crambidae,Schoenobiinae,,,Donacaula,maximellus,https://mothphotographersgroup.msstate.edu/species.php?hodges=5324,,"Schoenobius maximellus Fernald, 1891"
800720,5299,Acentria ephemerella,"([Denis & Schiffermüller], 1775)",,Pyraloidea,Crambidae,Acentropinae,Acentropiini,,Acentria,ephemerella,https://mothphotographersgroup.msstate.edu/species.php?hodges=5299,"Acentria ephemerella ([Denis & Schiffermüller], 1775), introduced from Europe, includes as a synonym 5299 Acentria nivea (Olivier, 1791), Neue Entomologische Nachrichten, 12: 1-157.","Tinea ephemerella [Denis & Schiffermüller], 1775
Acentropus badensis Nolcken, 1869
Setina ephemera Hübner, 1819
Acentropus garnonsii Curtis, 1834
Acentropus germanicus Nolcken, 1869
Zancle hansoni Stephens, 1833
Acentropus latipennis Möschler, 1860
Acentropus newae Kolenati, 1858
Phryganea nivea Olivier, 1791
Acentropus niveus Stephens, 1834
Acentria nivosa Stephens, 1829
Bombyx phryganea Hübner, 1809
Bombyx sembris Hübner, 1809"
800721,4766,Oligostigmoides cryptalis,"(Druce, 1896)",,Pyraloidea,Crambidae,Acentropinae,Nymphulini,,Oligostigmoides,cryptalis,https://mothphotographersgroup.msstate.edu/species.php?hodges=4766,"Oligostigmoides cryptalis (Druce, 1896) replaces 4766 Oligostigmoides cryptale (Druce, 1896) (Hodges et al. (1983) (Checklist), unjustified emendation (Hampson 1897)).","Cataclysta cryptalis Druce, 1896
Cataclysta cryptale Hampson, 1897"
800722,4758,Langessa nomophilalis,"(Dyar, 1906)",Black Langessa,Pyraloidea,Crambidae,Acentropinae,Nymphulini,,Langessa,nomophilalis,https://mothphotographersgroup.msstate.edu/species.php?hodges=4758,,"Nymphula nomophilalis Dyar, 1906"
800723,4747,Elophila ekthlipsis,"(Grote, 1876)",Nymphula Moth,Pyraloidea,Crambidae,Acentropinae,Nymphulini,,Elophila,ekthlipsis,https://mothphotographersgroup.msstate.edu/species.php?hodges=4747,,"Hydrocampa ekthlipsis Grote, 1876"
800724,4748,Elophila icciusalis,"(Walker, 1859)",Pondside Pyralid Moth,Pyraloidea,Crambidae,Acentropinae,Nymphulini,,Elophila,icciusalis,https://mothphotographersgroup.msstate.edu/species.php?hodges=4748,"Elophila icciusalis: formerly in Munroessa, now a synonym of Elophila.","Leucochroma icciusalis Walker, 1859
Hydrocampa? formosalis Clemens, 1860
Hydrocampa genuialis Lederer, 1863
Munroessa albiplaga Munroe, 1972
Munroessa avalona Munroe, 1972"
800725,4749,Elophila faulalis,"(Walker, 1859)",,Pyraloidea,Crambidae,Acentropinae,Nymphulini,,Elophila,faulalis,https://mothphotographersgroup.msstate.edu/species.php?hodges=4749,,"Leucochroma faulalis Walker, 1859
Hydrocampa pacalis Grote, 1881"
800726,4750,Elophila nebulosalis,"(Fernald, 1887)",Nebulous Munroessa Moth,Pyraloidea,Crambidae,Acentropinae,Nymphulini,,Elophila,nebulosalis,https://mothphotographersgroup.msstate.edu/species.php?hodges=4750,,"Hydrocampa nebulosalis Fernald, 1887"
800727,4751,Elophila gyralis,"(Hulst, 1886)",Waterlily Borer,Pyraloidea,Crambidae,Acentropinae,Nymphulini,,Elophila,gyralis,https://mothphotographersgroup.msstate.edu/species.php?hodges=4751,,"Hydrocampa gyralis Hulst, 1886
Nymphula dentilinea Hampson, 1897
Nymphula serralinealis Barnes & Benjamin, 1924"
800728,4754,Elophila tinealis,"(Munroe, 1972)",,Pyraloidea,Crambidae,Acentropinae,Nymphulini,,Elophila,tinealis,https://mothphotographersgroup.msstate.edu/species.php?hodges=4754,,"Synclita tinealis Munroe, 1972"
800729,4755,Elophila obliteralis,"(Walker, 1859)",Waterlily Leafcutter,Pyraloidea,Crambidae,Acentropinae,Nymphulini,,Elophila,obliteralis,https://mothphotographersgroup.msstate.edu/species.php?hodges=4755,,"Isopteryx? obliteralis Walker, 1859
Hydrocampa proprialis Fernald, 1888"
800730,4756,Elophila atlantica,"(Munroe, 1972)",,Pyraloidea,Crambidae,Acentropinae,Nymphulini,,Elophila,atlantica,https://mothphotographersgroup.msstate.edu/species.php?hodges=4756,,"Synclita atlantica Munroe, 1972"
800731,4757,Elophila occidentalis,"(Lange, 1956)",,Pyraloidea,Crambidae,Acentropinae,Nymphulini,,Elophila,occidentalis,https://mothphotographersgroup.msstate.edu/species.php?hodges=4757,,"Synclita occidentalis Lange, 1956"
800732,4752,Contiger vittatalis,"(Dyar, 1906)",,Pyraloidea,Crambidae,Acentropinae,Nymphulini,,Contiger,vittatalis,https://mothphotographersgroup.msstate.edu/species.php?hodges=4752,,"Oligostigma vittatalis Dyar, 1906"
800733,4753,Nymphuliella daeckealis,"(Haimbach, 1915)",China Mark Moth,Pyraloidea,Crambidae,Acentropinae,Nymphulini,,Nymphuliella,daeckealis,https://mothphotographersgroup.msstate.edu/species.php?hodges=4753,,"Diathrausta daeckealis Haimbach, 1915
Nymphula broweri Heinrich, 1940"
800734,4759,Parapoynx maculalis,"(Clemens, 1860)",Polymorphic Pondweed Moth,Pyraloidea,Crambidae,Acentropinae,Nymphulini,,Parapoynx,maculalis,https://mothphotographersgroup.msstate.edu/species.php?hodges=4759,,"Sironia maculalis Clemens, 1860
Nymphaeella dispar Grote, 1880
Nymphula foeminalis Dyar, 1906
Nymphula masculinalis Dyar, 1906
Nephopteryx seminivella Walker, 1866"
800735,4760,Parapoynx obscuralis,"(Grote, 1881)",Obscure Pondweed Moth,Pyraloidea,Crambidae,Acentropinae,Nymphulini,,Parapoynx,obscuralis,https://mothphotographersgroup.msstate.edu/species.php?hodges=4760,,"Oligostigma obscuralis Grote, 1881"
800736,4761,Parapoynx badiusalis,"(Walker, 1859)",Chestnut-marked Pondweed Moth,Pyraloidea,Crambidae,Acentropinae,Nymphulini,,Parapoynx,badiusalis,https://mothphotographersgroup.msstate.edu/species.php?hodges=4761,,"Cymoriza badiusalis Walker, 1859
Oligostigma albalis Robinson, 1870"
800737,4762,Parapoynx curviferalis,"(Walker, [1866])",,Pyraloidea,Crambidae,Acentropinae,Nymphulini,,Parapoynx,curviferalis,https://mothphotographersgroup.msstate.edu/species.php?hodges=4762,,"Oligostigma curviferalis Walker, [1866]"
800738,4763,Parapoynx seminealis,"(Walker, 1859)",Floating-heart Waterlilly Moth,Pyraloidea,Crambidae,Acentropinae,Nymphulini,,Parapoynx,seminealis,https://mothphotographersgroup.msstate.edu/species.php?hodges=4763,,"Oligostigma seminealis Walker, 1859
Eustales tedyuscongalis Clemens, 1860"
800739,4764,Parapoynx allionealis,"Walker, 1859",Watermilfoil Leafcutter,Pyraloidea,Crambidae,Acentropinae,Nymphulini,,Parapoynx,allionealis,https://mothphotographersgroup.msstate.edu/species.php?hodges=4764,,"Paraponyx allionealis Walker, 1859
Parapoynx aptalis Lederer, 1863
Parapoynx cretacealis Lederer, 1863
Hydrocampa itealis Walker, 1859
Parapoynx plenilinealis Grote, 1881"
800740,4765,Parapoynx diminutalis,"Snellen, 1880",Hydrilla Leafcutter,Pyraloidea,Crambidae,Acentropinae,Nymphulini,,Parapoynx,diminutalis,https://mothphotographersgroup.msstate.edu/species.php?hodges=4765,,"Parapoynx diminutalis Snellen, 1880
Paraponyx dicentra Meyrick, 1885
Oligostigma pallida Butler, 1886
Nymphula uxorialis Strand, 1919"
800741,4743,Neocataclysta magnificalis,"(Hübner, [1796])",Scrollwork Pyralid Moth,Pyraloidea,Crambidae,Acentropinae,Nymphulini,,Neocataclysta,magnificalis,https://mothphotographersgroup.msstate.edu/species.php?hodges=4743,,"Pyralis magnificalis Hübner, [1796]
Neocataclysta heliopalis Munroe, 1983
Cataclysta? helopalis Clemens, 1860
Cataclysta lamialis Walker, 1859"
800742,4744,Chrysendeton medicinalis,"(Grote, 1881)",Bold Medicine Moth,Pyraloidea,Crambidae,Acentropinae,Nymphulini,,Chrysendeton,medicinalis,https://mothphotographersgroup.msstate.edu/species.php?hodges=4744,,"Cataclysta medicinalis Grote, 1881"
800743,4745,Chrysendeton kimballi,"Lange, 1956",,Pyraloidea,Crambidae,Acentropinae,Nymphulini,,Chrysendeton,kimballi,https://mothphotographersgroup.msstate.edu/species.php?hodges=4745,,"Chrysendeton kimballi Lange, 1956"
800744,4746,Chrysendeton imitabilis,"(Dyar, 1917)",,Pyraloidea,Crambidae,Acentropinae,Nymphulini,,Chrysendeton,imitabilis,https://mothphotographersgroup.msstate.edu/species.php?hodges=4746,,"Elophila imitabilis Dyar, 1917"
800745,4746.1,Chrysendeton nigrescens,"Heppner, 1991",,Pyraloidea,Crambidae,Acentropinae,Nymphulini,,Chrysendeton,nigrescens,https://mothphotographersgroup.msstate.edu/species.php?hodges=4746.1,"Chrysendeton nigrescens Heppner, 1991, n. sp., Trop. Lepid., 2(2): 119-121.","Chrysendeton nigrescens Heppner, 1991"
800746,4770,Argyractis drumalis,"(Dyar, 1906)",,Pyraloidea,Crambidae,Acentropinae,Argyractini,,Argyractis,drumalis,https://mothphotographersgroup.msstate.edu/species.php?hodges=4770,"Argyractis drumalis (Dyar, 1906) was formerly in the genus Petrophila, Proc. Entomol. Soc. Wash. 96(4) 726-734.","Elophila drumalis Dyar, 1906"
800747,4769,Neargyractis slossonalis,"(Dyar, 1906)",Dimorphic Leafcutter,Pyraloidea,Crambidae,Acentropinae,Argyractini,,Neargyractis,slossonalis,https://mothphotographersgroup.msstate.edu/species.php?hodges=4769,,"Elophila slossonalis Dyar, 1906"
800748,4769.1,Neargyractis moniligeralis,"(Lederer, 1863)",,Pyraloidea,Crambidae,Acentropinae,Argyractini,,Neargyractis,moniligeralis,https://mothphotographersgroup.msstate.edu/species.php?hodges=4769.1,"Neargyractis moniligeralis (Lederer, 1863) is now recognized within the North American fauna north of Mexico, Arthropods of Florida and Neighboring Land Areas. 17: 269.","Cataclysta moniligeralis Lederer, 1863"
800749,4767,Usingeriessa onyxalis,"(Hampson, 1897)",,Pyraloidea,Crambidae,Acentropinae,Argyractini,,Usingeriessa,onyxalis,https://mothphotographersgroup.msstate.edu/species.php?hodges=4767,,"Cataclysta onyxalis Hampson, 1897
Elophila cancellalis Dyar, 1917"
800750,4768,Usingeriessa brunnildalis,"(Dyar, 1906)",,Pyraloidea,Crambidae,Acentropinae,Argyractini,,Usingeriessa,brunnildalis,https://mothphotographersgroup.msstate.edu/species.php?hodges=4768,,"Elophila brunnildalis Dyar, 1906"
800751,4771,Petrophila daemonalis,"(Dyar, 1908)",,Pyraloidea,Crambidae,Acentropinae,Argyractini,,Petrophila,daemonalis,https://mothphotographersgroup.msstate.edu/species.php?hodges=4771,,"Elophila daemonalis Dyar, 1908"
800752,4772,Petrophila cappsi,"(Lange, 1956)",,Pyraloidea,Crambidae,Acentropinae,Argyractini,,Petrophila,cappsi,https://mothphotographersgroup.msstate.edu/species.php?hodges=4772,,"Parargyractis cappsi Lange, 1956"
800753,4773,Petrophila kearfottalis,"(Barnes & McDunnough, 1917)",Petrophila Species Group,Pyraloidea,Crambidae,Acentropinae,Argyractini,,Petrophila,kearfottalis,https://mothphotographersgroup.msstate.edu/species.php?hodges=4773,,"Cataclysta kearfottalis Barnes & McDunnough, 1917
Elophila kearfottalis Dyar, 1906"
800753.1,4773.1,Petrophila anna,"Solis & Tuskes, 2018",,Pyraloidea,Crambidae,Acentropinae,Argyractini,,Petrophila,anna,https://mothphotographersgroup.msstate.edu/species.php?hodges=4773.1,"Petrophila anna Solis & Tuskes, 2018, n. sp., Proc. Entom. Soc. Wash. 120(3): 594.","Petrophila anna Solis & Tuskes, 2018"
800754,4774,Petrophila bifascialis,"(Robinson, 1869)",Two-banded Petrophila,Pyraloidea,Crambidae,Acentropinae,Argyractini,,Petrophila,bifascialis,https://mothphotographersgroup.msstate.edu/species.php?hodges=4774,,"Cataclysta bifascialis Robinson, 1870"
800754.1,4774.1,Petrophila cornvillia,"Solis & Tuskes, 2018",,Pyraloidea,Crambidae,Acentropinae,Argyractini,,Petrophila,cornvillia,https://mothphotographersgroup.msstate.edu/species.php?hodges=4774.1,"Petrophila cornvillia Solis & Tuskes, 2018, n. sp., Proc. Entom. Soc. Wash. 120(3): 600.","Petrophila cornvillia Solis & Tuskes, 2018"
800755,4775,Petrophila jaliscalis,"(Schaus, 1906)",,Pyraloidea,Crambidae,Acentropinae,Argyractini,,Petrophila,jaliscalis,https://mothphotographersgroup.msstate.edu/species.php?hodges=4775,,"Cataclysta jaliscalis Schaus, 1906
Elophila satanalis Dyar, 1917"
800756,4776,Petrophila hodgesi,"(Munroe, 1972)",,Pyraloidea,Crambidae,Acentropinae,Argyractini,,Petrophila,hodgesi,https://mothphotographersgroup.msstate.edu/species.php?hodges=4776,,"Parargyractis hodgesi Munroe, 1972"
800757,4777,Petrophila fulicalis,"(Clemens, 1860)",4777-79 Petrophila sp. grp.,Pyraloidea,Crambidae,Acentropinae,Argyractini,,Petrophila,fulicalis,https://mothphotographersgroup.msstate.edu/species.php?hodges=4777,,"Cataclysta fulicalis Clemens, 1860
Cataclysta angulatalis Lederer, 1863"
800758,4778,Petrophila santafealis,"(Heppner, 1976)",,Pyraloidea,Crambidae,Acentropinae,Argyractini,,Petrophila,santafealis,https://mothphotographersgroup.msstate.edu/species.php?hodges=4778,,"Parargyractis santafealis Heppner, 1976"
800759,4779,Petrophila canadensis,"(Munroe, 1972)",Canadian Petrophila,Pyraloidea,Crambidae,Acentropinae,Argyractini,,Petrophila,canadensis,https://mothphotographersgroup.msstate.edu/species.php?hodges=4779,,"Parargyractis canadensis Munroe, 1972"
800760,4780,Petrophila confusalis,"(Walker, [1866])",Confusing Petrophila,Pyraloidea,Crambidae,Acentropinae,Argyractini,,Petrophila,confusalis,https://mothphotographersgroup.msstate.edu/species.php?hodges=4780,,"Cataclysta confusalis Walker, [1866]
Elophila truckeealis Dyar, 1917"
800761,4781,Petrophila avernalis,"(Grote, 1883)",,Pyraloidea,Crambidae,Acentropinae,Argyractini,,Petrophila,avernalis,https://mothphotographersgroup.msstate.edu/species.php?hodges=4781,,"Chryseudeton [sic.] avernalis Grote, 1883
Argyractis? confusalis Barnes & McDunnough, 1913"
800762,4782,Petrophila cronialis,"(Druce, 1896)",,Pyraloidea,Crambidae,Acentropinae,Argyractini,,Petrophila,cronialis,https://mothphotographersgroup.msstate.edu/species.php?hodges=4782,,"Cataclysta cronialis Druce, 1896"
800763,4783,Petrophila longipennis,"(Hampson, 1906)",,Pyraloidea,Crambidae,Acentropinae,Argyractini,,Petrophila,longipennis,https://mothphotographersgroup.msstate.edu/species.php?hodges=4783,,"Argyractis longipennis Hampson, 1906"
800764,4784,Petrophila schaefferalis,"(Dyar, 1906)",,Pyraloidea,Crambidae,Acentropinae,Argyractini,,Petrophila,schaefferalis,https://mothphotographersgroup.msstate.edu/species.php?hodges=4784,,"Elophila schaefferalis Dyar, 1906
Argyractis castusalis Schaus, 1924"
800765,4784.1,Petrophila heppneri,"Blanchard & Knudson, 1983",,Pyraloidea,Crambidae,Acentropinae,Argyractini,,Petrophila,heppneri,https://mothphotographersgroup.msstate.edu/species.php?hodges=4784.1,"Petrophila heppneri Blanchard & Knudson, 1983 n. sp., Proc. Ent. Soc. Wash. 85: 59-63.","Petrophila heppneri Blanchard & Knudson, 1983"
800766,4785,Eoparargyractis irroratalis,"(Dyar, 1917)",,Pyraloidea,Crambidae,Acentropinae,Argyractini,,Eoparargyractis,irroratalis,https://mothphotographersgroup.msstate.edu/species.php?hodges=4785,,"Elophila irroratalis Dyar, 1917"
800767,4786,Eoparargyractis floridalis,"Lange, 1956",,Pyraloidea,Crambidae,Acentropinae,Argyractini,,Eoparargyractis,floridalis,https://mothphotographersgroup.msstate.edu/species.php?hodges=4786,,"Eoparargyractis floridalis Lange, 1956"
800768,4787,Eoparargyractis plevie,"(Dyar, 1917)",,Pyraloidea,Crambidae,Acentropinae,Argyractini,,Eoparargyractis,plevie,https://mothphotographersgroup.msstate.edu/species.php?hodges=4787,,"Elophila plevie Dyar, 1917"
800769,4788,Oxyelophila callista,"(Forbes, 1922)",,Pyraloidea,Crambidae,Acentropinae,Argyractini,,Oxyelophila,callista,https://mothphotographersgroup.msstate.edu/species.php?hodges=4788,,"Argyractis Oxyelophila callista Forbes, 1922"
800770,5120,Sufetula diminutalis,"(Walker, [1866])",,Pyraloidea,Crambidae,Lathrotelinae,,,Sufetula,diminutalis,https://mothphotographersgroup.msstate.edu/species.php?hodges=5120,,"Isopteryx? diminutalis Walker, [1866]
Hydrocampa dematrialis Druce, 1896"
800771,5120.1,Sufetula carbonalis,"Hayden, 2013",,Pyraloidea,Crambidae,Lathrotelinae,,,Sufetula,carbonalis,https://mothphotographersgroup.msstate.edu/species.php?hodges=5120.1,,"Sufetula carbonalis Hayden, 2013"
800772,5338,Eufernaldia cadarellus,"(Druce, 1896)",,Pyraloidea,Crambidae,Crambinae,Prionapterygini,,Eufernaldia,cadarellus,https://mothphotographersgroup.msstate.edu/species.php?hodges=5338,,"Crambus cadarellus Druce, 1896
Eufernaldia argenteonervella Hulst, [1901] 1900"
800773,5326,Surattha santella,"Kearfott, 1908",,Pyraloidea,Crambidae,Crambinae,Prionapterygini,,Surattha,santella,https://mothphotographersgroup.msstate.edu/species.php?hodges=5326,"Surattha santella Kearfott, 1908 was transferred to Prionapteryx by Bleszynski (1967) as a result of synonymy of the two genera. This synonymy was overturned by Bassi & Mey in Mey 2011, Esperiana Memoir 6: 234, leaving the generic status of North American species formerly placed in the genus Surattha uncertain. Those species are treated here as members of the genus Surattha following Scholtens & Solis (2015), ZooKeys, 535: 50, 111.","Surattha? santella Kearfott, 1908"
800774,5327,Surattha indentella,"Kearfott, 1908",,Pyraloidea,Crambidae,Crambinae,Prionapterygini,,Surattha,indentella,https://mothphotographersgroup.msstate.edu/species.php?hodges=5327,"Surattha indentella Kearfott, 1908 was transferred to Prionapteryx by Bleszynski (1967) as a result of synonymy of the two genera. This synonymy was overturned by Bassi & Mey in Mey 2011, Esperiana Memoir 6: 234, leaving the generic status of North American species formerly placed in the genus Surattha uncertain. Those species are treated here as members of the genus Surattha following Scholtens & Solis (2015), ZooKeys, 535: 50, 111.","Surattha indentella Kearfott, 1908"
800775,5332,Prionapteryx yavapai,"(Kearfott, 1908)",,Pyraloidea,Crambidae,Crambinae,Prionapterygini,,Prionapteryx,yavapai,https://mothphotographersgroup.msstate.edu/species.php?hodges=5332,,"Eugrotea? yavapai Kearfott, 1908"
800776,5333,Prionapteryx nebulifera,"Stephens, 1834",Clouded Veneer Moth,Pyraloidea,Crambidae,Crambinae,Prionapterygini,,Prionapteryx,nebulifera,https://mothphotographersgroup.msstate.edu/species.php?hodges=5333,,"Prionapteryx nebulifera Stephens, 1834"
800777,5334,Prionapteryx achatina,"Zeller, 1863",,Pyraloidea,Crambidae,Crambinae,Prionapterygini,,Prionapteryx,achatina,https://mothphotographersgroup.msstate.edu/species.php?hodges=5334,,"Prionapteryx achatina Zeller, 1863
Crambus delectalis Hulst, 1886"
800778,5335,Prionapteryx cuneolalis,"(Hulst, 1886)",,Pyraloidea,Crambidae,Crambinae,Prionapterygini,,Prionapteryx,cuneolalis,https://mothphotographersgroup.msstate.edu/species.php?hodges=5335,,"Crambus cuneolalis Hulst, 1886"
800779,5336,Prionapteryx serpentella,"Kearfott, 1908",,Pyraloidea,Crambidae,Crambinae,Prionapterygini,,Prionapteryx,serpentella,https://mothphotographersgroup.msstate.edu/species.php?hodges=5336,,"Prionapteryx serpentella Kearfott, 1908"
800780,5328,Mesolia baboquivariella,"(Kearfott, 1907)",,Pyraloidea,Crambidae,Crambinae,Prionapterygini,,Mesolia,baboquivariella,https://mothphotographersgroup.msstate.edu/species.php?hodges=5328,,"Prionapteryx baboquivariella Kearfott, 1907"
800781,5329,Mesolia oraculella,"Kearfott, 1908",,Pyraloidea,Crambidae,Crambinae,Prionapterygini,,Mesolia,oraculella,https://mothphotographersgroup.msstate.edu/species.php?hodges=5329,,"Mesolia oraculella Kearfott, 1908"
800782,5330,Mesolia huachucaella,"Kearfott, 1908",,Pyraloidea,Crambidae,Crambinae,Prionapterygini,,Mesolia,huachucaella,https://mothphotographersgroup.msstate.edu/species.php?hodges=5330,"Mesolia huachucaella Kearfott, 1908 corrects the spelling of huachucella in Hodges et al. (1983) (Checklist).","Mesolia huachucaella Kearfott, 1908
Mesolia huachucella Klots, 1983"
800783,5331,Mesolia incertellus,"(Zincken, 1821)",,Pyraloidea,Crambidae,Crambinae,Prionapterygini,,Mesolia,incertellus,https://mothphotographersgroup.msstate.edu/species.php?hodges=5331,,"Chilo incertellus Zincken, 1821
Eugrotea dentella Fernald, 1896
Prionapteryx olivella Grote, 1882"
800784,5337,Pseudoschoenobius opalescalis,"(Hulst, 1886)",,Pyraloidea,Crambidae,Crambinae,Prionapterygini,,Pseudoschoenobius,opalescalis,https://mothphotographersgroup.msstate.edu/species.php?hodges=5337,,"Schoenobius opalescalis Hulst, 1886
Prionapteryx griseosparsa Hampson, 1896"
800785,5473,Thopeutis forbesellus,"(Fernald, 1896)",,Pyraloidea,Crambidae,Crambinae,Haimbachiini,,Thopeutis,forbesellus,https://mothphotographersgroup.msstate.edu/species.php?hodges=5473,,"Chilo forbesellus Fernald, 1896"
800786,5474,Occidentalia comptulatalis,"(Hulst, 1886)",,Pyraloidea,Crambidae,Crambinae,Haimbachiini,,Occidentalia,comptulatalis,https://mothphotographersgroup.msstate.edu/species.php?hodges=5474,,"Crambus comptulatalis Hulst, 1886"
800787,5499,Xubida linearellus,"(Zeller, 1863)",X-linear Grass-veneer,Pyraloidea,Crambidae,Crambinae,Haimbachiini,,Xubida,linearellus,https://mothphotographersgroup.msstate.edu/species.php?hodges=5499,,"Crambus linearellus Zeller, 1863
Spermatophthora multilineatella Hulst, 1887"
800788,5500,Xubida panalope,"(Dyar, 1917)",,Pyraloidea,Crambidae,Crambinae,Haimbachiini,,Xubida,panalope,https://mothphotographersgroup.msstate.edu/species.php?hodges=5500,"Xubida panalope (Dyar, 1917) includes as a synonym Platytes acerata Dyar, 1917; ""...The present writer places acerata as the junior synonym, even though it has page priority, acting as first reviser under Article 24(a) of the Zoological Code."" - Klots (1970)","Platytes panalope Dyar, 1917
Platytes acerata Dyar, 1917"
800789,5501,Xubida relovae,"Klots, 1970",,Pyraloidea,Crambidae,Crambinae,Haimbachiini,,Xubida,relovae,https://mothphotographersgroup.msstate.edu/species.php?hodges=5501,,"Xubida relovae Klots, 1970"
800790,5502,Xubida punctilineella,"(Barnes & McDunnough, 1913)",,Pyraloidea,Crambidae,Crambinae,Haimbachiini,,Xubida,punctilineella,https://mothphotographersgroup.msstate.edu/species.php?hodges=5502,,"Platytes punctilineella Barnes & McDunnough, 1913"
800791,5503,Xubida lipan,"Klots, 1970",,Pyraloidea,Crambidae,Crambinae,Haimbachiini,,Xubida,lipan,https://mothphotographersgroup.msstate.edu/species.php?hodges=5503,,"Xubida lipan Klots, 1970"
800792,5504,Xubida dentilineatella,"(Barnes & McDunnough, 1913)",,Pyraloidea,Crambidae,Crambinae,Haimbachiini,,Xubida,dentilineatella,https://mothphotographersgroup.msstate.edu/species.php?hodges=5504,,"Platytes dentilineatella Barnes & McDunnough, 1913"
800793,5505,Xubida puritellus,"(Kearfott, 1908)",,Pyraloidea,Crambidae,Crambinae,Haimbachiini,,Xubida,puritellus,https://mothphotographersgroup.msstate.edu/species.php?hodges=5505,"Xubida puritellus: Original described as Chilo puritellus Kearfott, 1908, Proc. Nat. Mus. 35:393.  Shown as puritella (1983).","Chilo puritellus Kearfott, 1908
Platytes dinephelalis Dyar, 1917"
800794,5506,Xubida chiloidellus,"(Barnes & McDunnough, 1913)",,Pyraloidea,Crambidae,Crambinae,Haimbachiini,,Xubida,chiloidellus,https://mothphotographersgroup.msstate.edu/species.php?hodges=5506,,"Crambus chiloidellus Barnes & McDunnough, 1913"
800795,5482,Haimbachia squamulellus,"(Zeller, 1881)",,Pyraloidea,Crambidae,Crambinae,Haimbachiini,,Haimbachia,squamulellus,https://mothphotographersgroup.msstate.edu/species.php?hodges=5482,,"Chilo squamulellus Zeller, 1881"
800796,5483,Haimbachia arizonensis,"Capps, 1965",,Pyraloidea,Crambidae,Crambinae,Haimbachiini,,Haimbachia,arizonensis,https://mothphotographersgroup.msstate.edu/species.php?hodges=5483,,"Haimbachia arizonensis Capps, 1965"
800797,5484,Haimbachia pallescens,"Capps, 1965",,Pyraloidea,Crambidae,Crambinae,Haimbachiini,,Haimbachia,pallescens,https://mothphotographersgroup.msstate.edu/species.php?hodges=5484,,"Haimbachia pallescens Capps, 1965"
800798,5485,Haimbachia indistinctalis,"Capps, 1965",,Pyraloidea,Crambidae,Crambinae,Haimbachiini,,Haimbachia,indistinctalis,https://mothphotographersgroup.msstate.edu/species.php?hodges=5485,,"Haimbachia indistinctalis Capps, 1965"
800799,5486,Haimbachia discalis,"Dyar & Heinrich, 1927",,Pyraloidea,Crambidae,Crambinae,Haimbachiini,,Haimbachia,discalis,https://mothphotographersgroup.msstate.edu/species.php?hodges=5486,,"Haimbachia discalis Dyar & Heinrich, 1927"
800800,5487,Haimbachia floridalis,"Capps, 1965",,Pyraloidea,Crambidae,Crambinae,Haimbachiini,,Haimbachia,floridalis,https://mothphotographersgroup.msstate.edu/species.php?hodges=5487,,"Haimbachia floridalis Capps, 1965"
800801,5488,Haimbachia albescens,"Capps, 1965",Silvered Haimbachia,Pyraloidea,Crambidae,Crambinae,Haimbachiini,,Haimbachia,albescens,https://mothphotographersgroup.msstate.edu/species.php?hodges=5488,,"Haimbachia albescens Capps, 1965"
